2025-08-22 14:24:38.054 | INFO     | services.carbon_cycle:initialize_models:27 - 开始初始化碳循环分析模型...
2025-08-22 14:24:38.054 | INFO     | services.carbon_cycle:initialize_models:27 - 开始初始化碳循环分析模型...
2025-08-22 14:24:38.054 | INFO     | services.carbon_cycle:initialize_models:36 - 碳循环分析模型初始化完成
2025-08-22 14:24:38.054 | INFO     | services.carbon_cycle:initialize_models:36 - 碳循环分析模型初始化完成
2025-08-22 14:24:38.055 | INFO     | main:startup_event:60 - AI模型初始化完成
2025-08-22 14:24:38.055 | INFO     | main:startup_event:60 - AI模型初始化完成
2025-08-22 14:57:21.679 | INFO     | main:startup_event:48 - 碳排放AI分析服务启动中...
2025-08-22 14:57:21.681 | INFO     | services.ai_predictor:initialize_models:47 - 开始初始化AI预测模型...
2025-08-22 14:57:21.682 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_coal
2025-08-22 14:57:21.683 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_oil
2025-08-22 14:57:21.684 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_gas
2025-08-22 14:57:21.685 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_electricity
2025-08-22 14:57:21.686 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_renewable
2025-08-22 14:57:21.687 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_nuclear
2025-08-22 14:57:21.688 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_coal
2025-08-22 14:57:21.688 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_oil
2025-08-22 14:57:21.689 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_gas
2025-08-22 14:57:21.690 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_electricity
2025-08-22 14:57:21.691 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_renewable
2025-08-22 14:57:21.692 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_nuclear
2025-08-22 14:57:21.693 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_coal
2025-08-22 14:57:21.693 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_oil
2025-08-22 14:57:21.694 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_gas
2025-08-22 14:57:21.695 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_electricity
2025-08-22 14:57:21.696 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_renewable
2025-08-22 14:57:21.697 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_nuclear
2025-08-22 14:57:21.697 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_coal
2025-08-22 14:57:21.698 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_oil
2025-08-22 14:57:21.699 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_gas
2025-08-22 14:57:21.700 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_electricity
2025-08-22 14:57:21.701 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_renewable
2025-08-22 14:57:21.702 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_nuclear
2025-08-22 14:57:21.702 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_coal
2025-08-22 14:57:21.703 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_oil
2025-08-22 14:57:21.704 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_gas
2025-08-22 14:57:21.705 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_electricity
2025-08-22 14:57:21.706 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_renewable
2025-08-22 14:57:21.707 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_nuclear
2025-08-22 14:57:21.708 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_coal
2025-08-22 14:57:21.709 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_oil
2025-08-22 14:57:21.709 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_gas
2025-08-22 14:57:21.710 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_electricity
2025-08-22 14:57:21.711 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_renewable
2025-08-22 14:57:21.712 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: services_nuclear
2025-08-22 14:57:21.713 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_coal
2025-08-22 14:57:21.714 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_oil
2025-08-22 14:57:21.714 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_gas
2025-08-22 14:57:21.715 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_electricity
2025-08-22 14:57:21.716 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_renewable
2025-08-22 14:57:21.717 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: mining_nuclear
2025-08-22 14:57:21.718 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_coal
2025-08-22 14:57:21.719 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_oil
2025-08-22 14:57:21.719 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_gas
2025-08-22 14:57:21.720 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_electricity
2025-08-22 14:57:21.721 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_renewable
2025-08-22 14:57:21.722 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: chemical_nuclear
2025-08-22 14:57:21.722 | INFO     | services.ai_predictor:initialize_models:79 - AI预测模型初始化完成
2025-08-22 14:57:21.722 | INFO     | services.anomaly_detector:initialize_models:56 - 开始初始化异常检测模型...
2025-08-22 14:57:21.723 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: manufacturing
2025-08-22 14:57:21.724 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: energy
2025-08-22 14:57:21.724 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: transportation
2025-08-22 14:57:21.725 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: agriculture
2025-08-22 14:57:21.726 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: construction
2025-08-22 14:57:21.726 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: services
